Author Name,Tweet,Friends,CreatedAt,Id,Favorite Count,Retweet Count,Company,Source
Transcript Daily,AustralianSuper Pty Ltd Boosts Position in Alphabet Inc $GOOGL,9,3/8/18 9:53,9.71685E+17,0,0,GOOGLE,Twitter
East4Life,RT @mchaudhry82: Thursdayâ€™s Watch1: $AMZN $ADBE $AAPL $AMD $BTC.X $LTC.X $FB $ADSK $BA $BABA $COST $EA $GOOGL $BPMX $FCEL $BURL $AEO https:â€¦,25,3/8/18 7:21,9.71647E+17,0,2,GOOGLE,Twitter
Breaking News,$AMZN $GOOG $GOOGL: Playing Hardball: Financial Markets Donâ€™t Like It:,0,3/8/18 7:16,9.71646E+17,0,0,GOOGLE,Twitter
Ospreyeye,$FB $AMZN $AAPL $NFLX $GOOGL $MSFT $TWTR $SNAP $INTC $FB $AMZN $AAPL $NFLX $GOOGL $MSFT $TWTR $SNAP $INTC $NVDAâ€¦,9,3/8/18 6:05,9.71628E+17,0,0,GOOGLE,Twitter
Ospreyeye,$FB $AMZN $AAPL $NFLX $GOOGL $MSFT $TWTR $SNAP $INTC $FB $AMZN $AAPL $NFLX $GOOGL $MSFT $TWTR $SNAP $INTC $NVDAâ€¦,9,3/8/18 6:04,9.71628E+17,0,0,GOOGLE,Twitter
Ospreyeye,$FB $AMZN $AAPL $NFLX $GOOGL $MSFT $TWTR $SNAP $INTC $FB $AMZN $AAPL $NFLX $GOOGL $MSFT $TWTR $SNAP $INTC $NVDAâ€¦,9,3/8/18 6:03,9.71628E+17,0,0,GOOGLE,Twitter
thomaspan,RT @mchaudhry82: Thursdayâ€™s Watch1: $AMZN $ADBE $AAPL $AMD $BTC.X $LTC.X $FB $ADSK $BA $BABA $COST $EA $GOOGL $BPMX $FCEL $BURL $AEO https:â€¦,159,3/8/18 5:45,9.71623E+17,0,2,GOOGLE,Twitter
Paszport do Wall St.,#DonaldTrump #Podatki $AMZN $GOOGL D9c,276,3/8/18 5:30,9.71619E+17,0,0,GOOGLE,Twitter
Maria Chaudhry,Thursdayâ€™s Watch1: $AMZN $ADBE $AAPL $AMD $BTC.X $LTC.X $FB $ADSK $BA $BABA $COST $EA $GOOGL $BPMX $FCEL $BURL $AEO,463,3/8/18 5:25,9.71618E+17,8,2,GOOGLE,Twitter
Linda Tan,"RT @StkConfidential: A few of this week's watch list winners with their moves above my buy points: Baozun $BZUN + 10%, Micron Technology $Mâ€¦",169,3/8/18 5:21,9.71617E+17,0,1,GOOGLE,Twitter
Electrical Standards,BULL LAYS HEFTY WOOD IN #GOOGLE CALLS $GOOGL | WISEGUYâ€¦,551,3/8/18 4:59,9.71611E+17,0,0,GOOGLE,Twitter
AllidoisNguyen,RT @cfromhertz: ICYMI: $447M block trade (purchase) in the $FDN ETF yday - biggest inflow ever for the $FDN ETF Top weights in the FDN ETFâ€¦,439,3/8/18 4:56,9.71611E+17,0,3,GOOGLE,Twitter
AllidoisNguyen,RT @option_snipper: just remember the LEADING names now on the mkt - $nflx $amzn plus $bidu which is so surprisingly strong leading china sâ€¦,439,3/8/18 4:55,9.7161E+17,0,2,GOOGLE,Twitter
thomaspan,"RT @LMT978: $FDN HOD into the close FANGs still very strong and new highs is not a sign of distribution, FYI. $AMZN $FB $NFLX $GOOGL httpsâ€¦",159,3/8/18 4:52,9.71609E+17,0,2,GOOGLE,Twitter
ChartMill,$GOOGL has an Altman-Z score of 12.67. This indicates that $GOOGL is financially healthy and little risk of ban ...â€¦,407,3/8/18 4:50,9.71609E+17,0,0,GOOGLE,Twitter
lilmissdemure,RT @er111a: $CELZ get in at this 52-week low! Dilution done! big money! $TPAC $ANDI $ONCI $AAPL $BTC $ETH $TWTR $WMT $TRON $XRP $XOM $ETC $â€¦,4980,3/8/18 4:38,9.71606E+17,0,2,GOOGLE,Twitter
jnybgood,RT @johnnytrejo54: $WUHN @SDT_Holdings WONT BE LONG NOW!!!! CURRENT SOON! $aapl $msft $amzn $fb $goog $jnj $jpm $googl $bac $wfc $wmt $cvâ€¦,443,3/8/18 4:31,9.71604E+17,0,3,GOOGLE,Twitter
