Stock	Date	Open	High	Low	Close	Volume	Company
AAPL	2/1/18	167.165	168.62	166.76	167.78	38099665	APPLE
GOOGL	2/1/18	1175.99	1187.45	1169.36	1181.59	2774967	GOOGLE
AAPL	2/2/18	166	166.8	160.1	160.5	85436075	APPLE
GOOGL	2/2/18	1127.42	1131.3	1111.17	1119.2	5798880	GOOGLE
AAPL	2/3/18	162.55	166.8	160.1	158.49	85436075	APPLE
GOOGL	2/3/18	1114.0.15	1131.3	1111.17	1090.75	5798880	GOOGLE
AAPL	2/4/18	162.55	166.8	160.1	158.49	85436075	APPLE
GOOGL	2/4/18	1114.0.15	1131.3	1111.17	1090.75	5798880	GOOGLE
AAPL	2/5/18	159.1	163.88	156	156.49	66090446	APPLE
GOOGL	2/5/18	1100.61	1114.99	1056.74	1062.39	3742469	GOOGLE
AAPL	2/6/18	154.83	163.72	154	163.03	66625484	APPLE
GOOGL	2/6/18	1033.98	1087.38	1030.01	1084.43	3732527	GOOGLE
AAPL	2/7/18	163.085	163.4	159.0685	159.54	50852130	APPLE
GOOGL	2/7/18	1084.97	1086.53	1054.62	1055.41	2544683	GOOGLE
AAPL	2/8/18	160.29	161	155.03	155.15	49594129	APPLE
GOOGL	2/8/18	1059.87	1063.93	1004.7	1007.71	3067173	GOOGLE
AAPL	2/9/18	157.07	157.89	150.24	156.41	66723743	APPLE
GOOGL	2/9/18	1025.88	1051.72	997	1046.27	4436032	GOOGLE
AAPL	2/10/18	157.78	157.89	150.24	159.56	66723743	APPLE
GOOGL	2/10/18	1041.27	1051.72	997	1050.41	4436032	GOOGLE
AAPL	2/11/18	157.78	157.89	150.24	159.56	66723743	APPLE
GOOGL	2/11/18	1041.27	1051.72	997	1050.41	4436032	GOOGLE
AAPL	2/12/18	158.5	163.89	157.51	162.71	60560145	APPLE
GOOGL	2/12/18	1056.67	1065.57	1045.49	1054.56	2796258	GOOGLE
AAPL	2/13/18	161.95	164.75	161.65	164.34	32104756	APPLE
GOOGL	2/13/18	1050	1061.22	1046.92	1054.14	1574121	GOOGLE
AAPL	2/14/18	163.045	167.54	162.88	167.37	39669178	APPLE
GOOGL	2/14/18	1054.32	1075.47	1049.8	1072.7	2029979	GOOGLE
AAPL	2/15/18	169.79	173.09	169	172.99	50609595	APPLE
GOOGL	2/15/18	1083.45	1094.1	1067.23	1091.36	1806206	GOOGLE
AAPL	2/16/18	172.36	174.82	171.77	172.43	39638793	APPLE
GOOGL	2/16/18	1093.38	1108.31	1091.55	1095.5	1971928	GOOGLE
AAPL	2/17/18	172.205	174.82	171.77	172.14	39638793	APPLE
GOOGL	2/17/18	1093.38	1108.31	1091.55	1099.545	1971928	GOOGLE
AAPL	2/18/18	172.205	174.82	171.77	172.14	39638793	APPLE
GOOGL	2/18/18	1093.38	1108.31	1091.55	1099.545	1971928	GOOGLE
AAPL	2/20/18	172.05	174.26	171.42	171.85	33531012	APPLE
GOOGL	2/20/18	1092.76	1116.29	1090	1103.59	1646405	GOOGLE
AAPL	2/21/18	172.83	174.12	171.01	171.07	35833514	APPLE
GOOGL	2/21/18	1109.1	1136.2	1107.51	1113.75	2024534	GOOGLE
AAPL	2/22/18	171.8	173.95	171.71	172.5	30504116	APPLE
GOOGL	2/22/18	1119.17	1125.46	1105.15	1109.9	1386115	GOOGLE
AAPL	2/23/18	173.67	175.65	173.54	175.5	33329232	APPLE
GOOGL	2/23/18	1118.66	1129	1108.44	1128.09	1234539	GOOGLE
AAPL	2/24/18	175.01	175.65	173.54	177.23	33329232	APPLE
GOOGL	2/24/18	1125.26	1129	1108.44	1135.89	1234539	GOOGLE
AAPL	2/25/18	175.01	175.65	173.54	177.23	33329232	APPLE
GOOGL	2/25/18	1125.26	1129	1108.44	1135.89	1234539	GOOGLE
AAPL	2/26/18	176.35	179.39	176.21	178.97	36886432	APPLE
GOOGL	2/26/18	1131.86	1144.2	1129.34	1143.7	1489118	GOOGLE
AAPL	2/27/18	179.1	180.48	178.16	178.39	38685165	APPLE
GOOGL	2/27/18	1143.7	1144.25	1116.79	1117.51	2094863	GOOGLE
AAPL	2/28/18	179.26	180.615	178.05	178.12	33604574	APPLE
GOOGL	2/28/18	1122	1127.65	1103	1103.92	2431023	GOOGLE
AAPL	3/1/18	178.54	179.775	172.66	175	48801970	APPLE
GOOGL	3/1/18	1109.54	1111.27	1067.29	1071.41	2766856	GOOGLE
AAPL	3/2/18	172.8	176.3	172.45	176.21	38453950	APPLE
GOOGL	3/2/18	1057.98	1086.89	1050.11	1084.14	2508145	GOOGLE
AAPL	3/3/18	174	176.3	172.45	176.51	38453950	APPLE
GOOGL	3/3/18	1068.05	1086.89	1050.11	1089.45	2508145	GOOGLE
AAPL	3/4/18	174	176.3	172.45	176.51	38453950	APPLE
GOOGL	3/4/18	1068.05	1086.89	1050.11	1089.45	2508145	GOOGLE
AAPL	3/5/18	175.21	177.74	174.52	176.82	28401366	APPLE
GOOGL	3/5/18	1078.13	1101.18	1072.27	1094.76	1432369	GOOGLE
AAPL	3/6/18	177.91	178.25	176.13	176.67	23788506	APPLE
GOOGL	3/6/18	1102.1	1105.63	1094.5	1100.9	1169068	GOOGLE
AAPL	3/7/18	174.94	175.85	174.27	175.03	31703462	APPLE
GOOGL	3/7/18	1092.82	1116.2	1089.91	1115.04	1537429	GOOGLE
AAPL	3/8/18	175.48	177.12	175.07	176.94	24518533	APPLE
GOOGL	3/8/18	1117.2	1131.44	1117.2	1129.38	1726412	GOOGLE
AAPL	3/9/18	177.96	180	177.39	179.98	32174960	APPLE
GOOGL	3/9/18	1139.5	1161	1134.29	1160.84	2132877	GOOGLE
